resource_uri,skos_prefLabel_ja,skos_prefLabel_en,altLabel,homepage,description,identifier,ndlAuthoritiesID,viafID,wikidataID,twitterID,seeAlso,language,disambiguatingDescription,note,additionalType,startDate,endDate,address,latitude,longitude,relatedOrganization,member,logo,source
https://collection.rcgs.jp/resource/AGENT0001072,,DICE Los Angeles,DICE LA,,1995年、 DreamWorksとMicrosoftとで合資会社DreamWorks Interactive L.L.C. を設立。2000年、Electronic Artsに買収されEA Los Angelesとなる。2010年、Danger Close Gamesに名称変更。2013年、EA DICEの部門に組み込まれて、DICE Los Angelesとなる。,,,,https://www.wikidata.org/entity/Q597020,,https://en.wikipedia.org/wiki/DICE_Los_Angeles|https://mediaarts-db.bunka.go.jp/id/C45213,http://id.loc.gov/vocabulary/iso639-2/eng,,,制作チーム,2013,,"Los Angeles, California, U.S.",,,https://collection.rcgs.jp/resource/AGENT0000099|https://collection.rcgs.jp/resource/AGENT0000998,,,https://en.wikipedia.org/wiki/DICE_Los_Angeles (accessed 2018-10-25)|http://www.dice.se/about/los-angeles/ (accessed 2018-12-21)
https://collection.rcgs.jp/resource/AGENT0003376,立命館大学大学院先端総合学術研究科,,,https://www.r-gscefs.jp/,,,https://id.ndl.go.jp/auth/ndlna/00993282,https://viaf.org/viaf/259728043,,https://twitter.com/sentan01,https://mediaarts-db.bunka.go.jp/id/C46841,http://id.loc.gov/vocabulary/iso639-2/jpn,,,学校,,,京都府京都市,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019118|https://www.r-gscefs.jp/ (accessed )
https://collection.rcgs.jp/resource/AGENT0003260,日本ゲーム,Nihon Game,株式会社日本ゲーム,,1980年、株式会社日本ゲームとして設立。1987年、株式会社カルチャーブレーンに社名変更。,,,,,,https://mediaarts-db.bunka.go.jp/id/C46737,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1980,1987,,,,https://collection.rcgs.jp/resource/AGENT0000316,,,https://www.mobygames.com/company/culture-brain-excel-inc (accessed 2018-12-12)|https://ja.wikipedia.org/wiki/カルチャーブレーンエクセル (accessed 2018-12-12)
https://collection.rcgs.jp/resource/AGENT0003568,,Pix'n Love Publishing,,https://www.pixnlovepublishing.com/,,,,,,https://twitter.com/PixnLove_Store,https://mediaarts-db.bunka.go.jp/id/C47022,http://id.loc.gov/vocabulary/iso639-2/fra,,,企業,2007 ,,,,,,,,https://www.pixnlovepublishing.com/content/about-us-14 (accessed 2019-08-30)
https://collection.rcgs.jp/resource/AGENT0004168,,Iron Lore Entertainment,,,2000年10月、設立。2008年2月27日、次回作の資金調達できず閉鎖。,,,,https://www.wikidata.org/entity/Q1517490,,https://en.wikipedia.org/wiki/Iron_Lore_Entertainment,http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,2000-10,2008-02-27,"Maynard, Massachusetts, U.S",,,,,,https://en.wikipedia.org/wiki/Iron_Lore_Entertainment (accessed 2019-09-05)
https://collection.rcgs.jp/resource/AGENT0001962,メディア商事株式会社,,メディア商事,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C45974,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/AGENT0006444,ケーピーシーエス,,,,2000年にデビューし、五つの作品を発表した後2004年に活動を停止した。ノヴェルシアターという従来のビジュアルノベルにはない独特の文字表示法や演出を採用したゲームを開発していた。各作品は2005年からダウンロード販売が始まったが、2007年7月末で販売が終了している。なお、KLEINとは関係はない。,,,,,,https://ja.wikipedia.org/wiki/Project-μ%20,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,,,,,,,,,https://ja.wikipedia.org/wiki/Project-μ  (accessed 2021-01-08)
https://collection.rcgs.jp/resource/AGENT0001017,,Slant Six Games,Slant Six Games Inc.,https://www.slantsixgames.com/,2005年、Slant Six Games設立。2013年、廃止。,,,https://viaf.org/viaf/131800022,https://www.wikidata.org/entity/Q2412425,,https://mediaarts-db.bunka.go.jp/id/C45164|https://en.wikipedia.org/wiki/Slant_Six_Games,http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,2005,2013,"Vancouver, British Columbia, Canada",,,,,,https://en.wikipedia.org/wiki/Slant_Six_Games (accessed 2018-12-15)|https://collection.rcgs.jp/resource/PACKAGE0002225|https://www.slantsixgames.com/ (accessed 2018-12-15)|https://www.mobygames.com/company/slant-six-games-inc (accessed 2018-12-15)
https://collection.rcgs.jp/resource/AGENT0004338,,"Metro3D, Inc.",Metro 3D,http://www.metro3d.com,,,,,https://www.wikidata.org/entity/Q6824407,,"https://en.wikipedia.org/wiki/Metro3D,_Inc.",http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,1998,2004,"San Jose, California, U.S.",,,,,,"https://en.wikipedia.org/wiki/Metro3D,_Inc. (accessed 2019-09-19)"
https://collection.rcgs.jp/resource/AGENT0006396,エイデン,"Eiden Co.,Ltd.",株式会社エイデン,http://eiden.jp/,2002年、株式会社デオデオと共同で持株会社の株式会社エディオンを設立し、事業統合。2009年、株式会社エディオンEASTに商号変更。,,,,https://www.wikidata.org/entity/Q11289596,,https://ja.wikipedia.org/wiki/エイデン,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1998-07-01,2009,,,,,,,https://ja.wikipedia.org/wiki/エイデン (accessed 2020-09-02)
https://collection.rcgs.jp/resource/AGENT0000436,デービーソフト株式会社,dB-SOFT Inc.,,http://www.db-soft.co.jp/,1980年、株式会社コンピューターランド北海道として設立。1984年、デービーソフト株式会社に社名変更。2001年、事務をネットファーム・コミュニケーションズに移管し、廃止。2003年、事業を完全停止。2015年、みなし解散。,,,,https://www.wikidata.org/entity/Q11320972,,https://mediaarts-db.bunka.go.jp/id/C44906|https://ja.wikipedia.org/wiki/デービーソフト,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1984,2001-08-01,北海道札幌市厚別区下野幌テクノパーク1-1-15,,,https://collection.rcgs.jp/resource/AGENT0002318,,,https://ja.wikipedia.org/wiki/デービーソフト (accessed 2019-01-10)|https://en.wikipedia.org/wiki/DB-SOFT (accessed 2019-01-10)|https://www.mobygames.com/company/db-soft (accessed 2019-01-10)
https://collection.rcgs.jp/resource/AGENT0004307,,BAM! Entertainment,"Bay Area Multimedia, Inc.|BAM! Entertainment, Inc.",,,,,,https://www.wikidata.org/entity/Q795397,,https://en.wikipedia.org/wiki/BAM!_Entertainment,http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,1999-10-07,,"San Jose, California, U.S.",,,,,,https://en.wikipedia.org/wiki/BAM!_Entertainment (accessed 2019-09-13)
https://collection.rcgs.jp/resource/AGENT0000850,セガ・エンタープライゼス,"SEGA Enterprises, Inc.",セガ・エンタープライゼス,,1965年、サービス・ゲームズからセガ・エンタープライゼスに商号変更。2000年、株式会社セガに商号変更（廃止）。,,https://id.ndl.go.jp/auth/ndlna/00556714,https://viaf.org/viaf/143387238,,,https://mediaarts-db.bunka.go.jp/id/C45022,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1965,2000,東京都大田区羽田1丁目2番12号,,,https://collection.rcgs.jp/resource/AGENT0000695|https://collection.rcgs.jp/resource/AGENT0000410,,,https://sega-games.co.jp/ (accessed 2018-10-25)|https://collection.rcgs.jp/resource/PACKAGE0007522|https://www.atengineer.com/pr/sega/company/index (accessed 2020-08-11)|https://www.mobygames.com/company/tears-ichikawa-software-co-ltd (accessed 2018-10-25)|https://ja.wikipedia.org/wiki/セガゲームス (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0001066,ヴァンテアンシステムズ株式会社,Vingt-et-un Systems Corporation,,http://www.vsc-g.co.jp/,1992年、ヴァンテアンシステムズ株式会社を設立。,,,,,,https://mediaarts-db.bunka.go.jp/id/C45207,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1992-11,,大阪府大阪市中央区南船場2-10-30 豊城ビル403,,,,,,http://gdri.smspower.org/wiki/index.php/Vingt_et_un_Systems (accessed 2018-12-21)|https://collection.rcgs.jp/resource/PACKAGE0006168|https://www.mobygames.com/company/vingt-et-un-systems-corporation (accessed 2018-12-21)|http://www.vsc-g.co.jp/compinfo.html (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0002296,エム・エス・シー コンピュータ事業部,,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46262,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,,,大阪府大阪市北区曾根崎2丁目2番15号,,,,,,https://collection.rcgs.jp/resource/PACKAGE0007775|https://ja.wikipedia.org/wiki/ハミングバードソフト (accessed 2018-12-20)|https://www.mobygames.com/company/humming-bird-soft (accessed 2018-12-20)
https://collection.rcgs.jp/resource/AGENT0002276,,Meta-Doll,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46245,http://id.loc.gov/vocabulary/iso639-2/jpn,,,ブランド,,,,,,,,,https://ja.wikipedia.org/wiki/Project-μ_(ゲームブランド) (accessed 2018-12-20)|https://collection.rcgs.jp/resource/PACKAGE0008843
