resource_uri,label,prefLabel,altLabel,spatial,date,description,identifier,closeMatch,twitch,freebase,mobyGames,metacritic,seeAlso,imdb,abstract,audience,natureOfContent,serialNumber,disambiguatingDescription,locationCreated,about,subjectOf,gameLocation,creator,productionCompany,relatedAgent,logo,relation,isPartOf,hasPart,precedes,succeeds,sequelTo,sequel,remadeAs,complements,expandedAs,spinOff,note,genre,narrativeGenre,theme,mood,setting,series,franchise,mechanic,protagonist
https://collection.rcgs.jp/resource/WORK0003601,1on1 (1998),1 on 1|1on1,1 on 1|1on1,,1998,,,https://www.wikidata.org/wiki/Q11186312,,,https://www.mobygames.com/game/1-on-1,,https://ja.wikipedia.org/wiki/1on1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0008862,ジーワンジョッキー3,ジーワンジョッキー3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0006587,INTERNATIONAL MOTO-X,INTERNATIONAL MOTO-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0007069,GetBackers奪還屋,GetBackers奪還屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0006600,The Operation DEATH WING,The Operation DEATH WING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,シューティング,ファンタジー|SF,,積極的|競争的,,,,,
https://collection.rcgs.jp/resource/WORK0007403,極上!! めちゃモテ委員長 ガールズ モテ カワ BOX,極上!! めちゃモテ委員長 ガールズ モテ カワ BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0003899,Shock Wave (1994),Shock Wave,,,1994,,,https://www.wikidata.org/wiki/Q7499851,,,https://www.mobygames.com/game/shock-wave,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/AGENT0000099,,,,,,,,,,,,,,,combat flight simulator,,,,,,,,
https://collection.rcgs.jp/resource/WORK0003147,イリスのアトリエ エターナルマナ (2004),Atelier Iris: Eternal Mana|イリスのアトリエ エターナルマナ|이리스의 아틀리에 이터널 마나|鍊金術士伊莉絲的工房 永恆的瑪納,鍊金術士伊莉絲～永恆的瑪那|이리스의 아틀리에: 이터널 마나|이리스의 아틀리에|이리스의 아뜰리에|이리스의 아틀리에 ~이터널 마나~|イリスのアトリエ,,2004,,,https://www.wikidata.org/wiki/Q2442249,,/m/0690n6,https://www.mobygames.com/game/atelier-iris-eternal-mana,,https://ja.wikipedia.org/wiki/イリスのアトリエ_エターナルマナ,,,,,A6,,JP,,,,,https://collection.rcgs.jp/resource/AGENT0000012,,,,,,https://collection.rcgs.jp/resource/WORK0002023,https://collection.rcgs.jp/resource/WORK0005001,,,,,,,,コンピュータRPG,,,,,,,,
https://collection.rcgs.jp/resource/WORK0009046,ビズ能力DSシリーズ 魅力改革 (2007),ビズ能力DSシリーズ 魅力改革,,,2007,,,,,,,,,,,,,,,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0006483,PUZZLE BOBBLE 2X & SPACE INVADERS,PUZZLE BOBBLE 2X & SPACE INVADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パズルボブル,,,
https://collection.rcgs.jp/resource/WORK0000265,うる星やつら 〜ディア マイ フレンズ〜 (1994),福星小子 ～Dear My Friend～|うる星やつら 〜ディア マイ フレンズ〜,,,1994,,,https://www.wikidata.org/wiki/Q375475,,,https://www.mobygames.com/game/urusei-yatsura-dear-my-friends,,https://ja.wikipedia.org/wiki/うる星やつら_〜ディア_マイ_フレンズ〜,,,,,,,,,,,,https://collection.rcgs.jp/resource/AGENT0000338,,,,,,,,,,,,,,,アドベンチャーゲーム,,,,,,,,
https://collection.rcgs.jp/resource/WORK0002545,緋色の欠片 (2006),緋色的碎片|Hiiro no Kakera|緋色の欠片,,,2006,,,https://www.wikidata.org/wiki/Q746438,,/m/02qtf22,,,https://ja.wikipedia.org/wiki/緋色の欠片,,,,,,,JP,,,,,,,,,,,,,,,,,,,,ビジュアルノベル|ビジュアルノベル|ファンタジー,恋愛,,,,緋色の欠片,緋色の欠片,,
https://collection.rcgs.jp/resource/WORK0006940,K-1 王者になろう!,K-1 王者になろう!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0002806,D.C.P.S. 〜ダ・カーポ〜 プラスシチュエーション,D.C.P.S. 〜ダ・カーポ〜 プラスシチュエーション|初音島Plus Situation,D.C.P.S. 〜ダ・カーポ プラスシチュエーション〜|D.C.P.C. ～ダ・カーポ プラスコミュニケーション～|D.C.P.S. ～ダ・カーポ プラスシチュエーション～|D.C.P.S.|D.C.I&II P.S.P. 〜ダ・カーポI&II〜 プラスシチュエーション ポータブル|D.C.P.C. 〜ダ・カーポ〜 プラスコミュニケーション|D.C.P.C.|D.C.P.C. ～ダ・カーポ～ プラスコミュニケーション|D.C.P.S.〜ダ・カーポ プラスシチュエーション〜|D.C.P.S. 〜ダ・カーポ〜 プラスシチュエーション KADOKAWA THE Best|D.C.P.S. ～ダ・カーポ～ プラスシチュエーション,,,,,https://www.wikidata.org/wiki/Q10898245,,,,,https://ja.wikipedia.org/wiki/D.C.P.S._〜ダ・カーポ〜_プラスシチュエーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0005956,村越正海の爆釣日本列島,村越正海の爆釣日本列島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0002438,海腹川背・旬 (1997),海腹川背・旬|Umihara Kawase Shun|海腹川背·旬,海腹川背 旬 セカンドエディション|海腹川背・旬 ～セカンドエディション～ マル安シリーズ(1)|海腹川背 旬|海腹川背·旬 Second Edition 完全版|海腹川背・旬 セカンドエディション,,1997,,,https://www.wikidata.org/wiki/Q11559205,,,https://www.mobygames.com/game/umihara-kawase-shun-second-edition|https://www.mobygames.com/game/umihara-kawase-shun,,https://ja.wikipedia.org/wiki/海腹川背・旬,,,,,,,,,,,,,,,,,,,,,,,,,,,アクションゲーム|ベルトスクロールアクション,アクション,,平和,,海腹川背,海腹川背,,
