resource_uri,prefLabel_ja,prefLabel_en,altLabel,homepage,description,identifier,ndlAuthoritiesID,viafID,wikidataID,twitterID,seeAlso,language,disambiguatingDescription,note,hasOccupation,birthDate,deathDate,birthPlace,deathPlace,homeLocation,mbox,addressCountry,additionalName,title,source
https://collection.rcgs.jp/resource/AGENT0004466,,Deanna Mustard,,,,,,,https://www.wikidata.org/entity/Q5800935,,,,,,,1980,,,,,,US,,,"https://www.wikidata.org/entity/Q5800935 (accessed 2020-08-28)|https://www.mobygames.com/developer/sheet/view/developerId,118697/ (accessed 2020-02-05)"
https://collection.rcgs.jp/resource/AGENT0005410,,"CATTANEO, Fabrizio",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,269291",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0027305|https://www.mobygames.com/developer/sheet/view/developerId,269291/ (accessed 2019-11-19)"
https://collection.rcgs.jp/resource/AGENT0005972,福田裕彦,Yasuhiko Fukuda,生福,,,ISNI:0000 0003 8181 1982,https://id.ndl.go.jp/auth/ndlna/00400745,https://viaf.org/viaf/261917031,https://www.wikidata.org/entity/Q8049968,https://twitter.com/YasuhikoFK,https://ja.wikipedia.org/wiki/福田裕彦,,,,音楽プロデューサー,1957,,東京都板橋区,,,,JP,,,"https://ja.wikipedia.org/wiki/福田裕彦 (accessed 2020-01-15)|https://collection.rcgs.jp/resource/VARIATION0001245|https://www.wikidata.org/entity/Q8049968 (accessed 2020-08-28)|https://www.mobygames.com/developer/sheet/view/developerId,80658/ (accessed 2020-01-15)"
https://collection.rcgs.jp/resource/AGENT0004647,下村真一,,,,,,,,https://www.wikidata.org/entity/Q11360987,,https://ja.wikipedia.org/wiki/下村真一,,,,ゲームクリエイター,1966,,,,,,,,,"https://ja.wikipedia.org/wiki/下村真一 (accessed 2019-10-21)|https://collection.rcgs.jp/resource/VARIATION0002997|https://www.mobygames.com/developer/sheet/view/developerId,52464/ (accessed 2019-10-21)|https://www.wikidata.org/entity/Q11360987 (accessed 2020-08-28)"
https://collection.rcgs.jp/resource/AGENT0006324,"庭山, 博也","NIWAYAMA, Hiroya",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,365506",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,365506/ (accessed 2020-02-12)|https://collection.rcgs.jp/resource/VARIATION0001636|https://ja.wikipedia.org/wiki/ファージアスの邪皇帝 (accessed 2020-02-12)"
https://collection.rcgs.jp/resource/AGENT0004554,,"NAITO, Tomoyuki ",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,43664",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,43664/ (accessed 2019-10-16)|https://collection.rcgs.jp/resource/PACKAGE0010431"
https://collection.rcgs.jp/resource/AGENT0004415,中野祐輔,Yusuke Nakano,나카노 유우스케,,,,,,https://www.wikidata.org/entity/Q4023281,,"https://ja.wikipedia.org/wiki/中野祐輔|https://www.mobygames.com/developer/sheet/view/developerId,54629",http://id.loc.gov/vocabulary/iso639-2/jpn,,,,2000,,,,,,JP,,,"https://collection.rcgs.jp/resource/VARIATION0024421|https://ja.wikipedia.org/wiki/中野祐輔 (accessed 2019-10-16)|https://www.wikidata.org/entity/Q4023281 (accessed 2020-08-28)|https://www.mobygames.com/developer/sheet/view/developerId,54629/ (accessed 2019-10-16)"
https://collection.rcgs.jp/resource/AGENT0004726,,"NAKANISHI, Keigo",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,144239",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0027215|https://www.mobygames.com/developer/sheet/view/developerId,144239/ (accessed 2019-10-23)"
https://collection.rcgs.jp/resource/AGENT0003550,"立山, 秀利",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47004,,,,,1970,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019301|https://collection.rcgs.jp/resource/PACKAGE0019300
https://collection.rcgs.jp/resource/AGENT0005586,"福島, 和行","FUKUSHIMA, Kazuyuki",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,162576",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,162576/ (accessed 2019-12-09)|https://collection.rcgs.jp/resource/VARIATION0001292"
https://collection.rcgs.jp/resource/AGENT0006162,"藤田, 真理","FUJITA, Mari",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,148256",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0027305|https://www.mobygames.com/developer/sheet/view/developerId,148256/ (accessed 2020-02-05)"
