resource_uri,exemplarOf,identifier,spatial,owns,holdingAgent
https://collection.rcgs.jp/resource/ITEM0005193,https://collection.rcgs.jp/resource/PACKAGE0000434,RCGSa0009170|S8496,A27,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0008201,https://collection.rcgs.jp/resource/PACKAGE0008638,RCGSa0012877|S11773,A106,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0018419,,RCGSa0020241,A196,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001416,https://collection.rcgs.jp/resource/PACKAGE0000412,RCGSa0001415|S5021,A31,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000345,https://collection.rcgs.jp/resource/PACKAGE0000720,S3960|RCGSa0000346,C89,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0004852,https://collection.rcgs.jp/resource/PACKAGE0006628,S3699|RCGSa0008778,C171,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0012080,,RCGSa0006717|S14945,15,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0015347,,S18219|RCGSa0016797,V214,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0020800,,RCGSa0022494,D112.E105,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0020468,,RCGSa0022064,53,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0016411,,RCGSa0017487|S18875,2,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0002256,https://collection.rcgs.jp/resource/PACKAGE0006203,S5827|RCGSa0002258,A41,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0018367,,RCGSa0020201,A197,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019148,,RCGSa0019437,P14,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001052,https://collection.rcgs.jp/resource/PACKAGE0004784,S4660|RCGSa0001051,C72,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003396,https://collection.rcgs.jp/resource/PACKAGE0002073,S6957|RCGSa0003401,C55,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0008471,https://collection.rcgs.jp/resource/PACKAGE0003705,S10942|RCGSa0014920,C124,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0010308,https://collection.rcgs.jp/resource/PACKAGE0010351,RCGSa0015189|S13449,A129,https://collection.rcgs.jp/resource/AGENT0000848,
